project,required,dep
docker,False,idna
pyarrow,True,numpy
paramiko,True,bcrypt
paramiko,True,cryptography
paramiko,True,pynacl
paramiko,False,pyasn1
paramiko,False,pynacl
paramiko,False,bcrypt
paramiko,False,invoke
paramiko,False,gssapi
paramiko,False,pywin32
nbformat,True,ipython-genutils
nbformat,True,traitlets
nbformat,True,jsonschema
nbformat,True,jupyter-core
nbformat,False,fastjsonschema
nbformat,False,check-manifest
nbformat,False,testpath
nbformat,False,pytest
nbformat,False,pytest-cov
dnspython,False,cryptography
dnspython,False,requests
dnspython,False,requests-toolbelt
dnspython,False,idna
dnspython,False,curio
dnspython,False,sniffio
dnspython,False,trio
babel,True,pytz
configparser,False,sphinx
configparser,False,jaraco.packaging
configparser,False,rst.linker
configparser,False,pytest
configparser,False,pytest-checkdocs
configparser,False,pytest-flake8
configparser,False,pytest-cov
configparser,False,pytest-enabler
configparser,False,pytest-black
configparser,False,pytest-mypy
soupsieve,True,backports.functools-lru-cache
jupyter-core,True,traitlets
jupyter-core,True,pywin32
nbconvert,True,mistune
nbconvert,True,jinja2
nbconvert,True,pygments
nbconvert,True,jupyterlab-pygments
nbconvert,True,traitlets
nbconvert,True,jupyter-core
nbconvert,True,nbformat
nbconvert,True,entrypoints
nbconvert,True,bleach
nbconvert,True,pandocfilters
nbconvert,True,testpath
nbconvert,True,defusedxml
nbconvert,True,nbclient
nbconvert,False,pytest
nbconvert,False,pytest-cov
nbconvert,False,pytest-dependency
nbconvert,False,ipykernel
nbconvert,False,ipywidgets
nbconvert,False,pyppeteer
nbconvert,False,tornado
nbconvert,False,sphinx
nbconvert,False,sphinx-rtd-theme
nbconvert,False,nbsphinx
nbconvert,False,ipython
jupyter-client,True,traitlets
jupyter-client,True,jupyter-core
jupyter-client,True,pyzmq
jupyter-client,True,python-dateutil
jupyter-client,True,tornado
jupyter-client,False,sphinx
jupyter-client,False,sphinx-rtd-theme
jupyter-client,False,sphinxcontrib-github-alt
jupyter-client,False,async-generator
jupyter-client,False,ipykernel
jupyter-client,False,ipython
jupyter-client,False,mock
jupyter-client,False,pytest-asyncio
jupyter-client,False,pytest-timeout
jupyter-client,False,pytest
jupyter-client,False,jedi
tzlocal,True,pytz
tensorboard,True,absl-py
tensorboard,True,grpcio
tensorboard,True,google-auth
tensorboard,True,google-auth-oauthlib
tensorboard,True,markdown
tensorboard,True,numpy
tensorboard,True,protobuf
tensorboard,True,requests
tensorboard,True,setuptools
tensorboard,True,tensorboard-data-server
tensorboard,True,tensorboard-plugin-wit
tensorboard,True,werkzeug
tensorboard,True,futures
tensorboard,True,wheel
mock,False,twine
mock,False,wheel
mock,False,blurb
mock,False,sphinx
mock,False,pytest
mock,False,pytest-cov
testpath,False,pytest
testpath,False,pathlib2
notebook,True,jinja2
notebook,True,tornado
notebook,True,pyzmq
notebook,True,argon2-cffi
notebook,True,ipython-genutils
notebook,True,traitlets
notebook,True,jupyter-core
notebook,True,jupyter-client
notebook,True,nbformat
notebook,True,nbconvert
notebook,True,ipykernel
notebook,True,Send2Trash
notebook,True,terminado
notebook,True,prometheus-client
notebook,False,sphinx
notebook,False,nbsphinx
notebook,False,sphinxcontrib-github-alt
notebook,False,sphinx-rtd-theme
notebook,False,myst-parser
notebook,False,json-logging
notebook,False,pytest
notebook,False,coverage
notebook,False,requests
notebook,False,nbval
notebook,False,selenium
notebook,False,pytest-cov
notebook,False,requests-unixsocket
ipykernel,True,ipython
ipykernel,True,traitlets
ipykernel,True,jupyter-client
ipykernel,True,tornado
ipykernel,True,appnope
ipykernel,False,pytest
ipykernel,False,pytest-cov
ipykernel,False,flaky
ipykernel,False,nose
ipykernel,False,jedi
jedi,True,parso
jedi,False,flake8
jedi,False,mypy
jedi,False,Django
jedi,False,colorama
jedi,False,docopt
jedi,False,pytest
parso,False,flake8
parso,False,mypy
parso,False,docopt
parso,False,pytest
terminado,True,tornado
terminado,True,ptyprocess
terminado,True,pywinpty
terminado,False,pytest
cycler,True,six
ipywidgets,True,ipykernel
ipywidgets,True,traitlets
ipywidgets,True,nbformat
ipywidgets,True,widgetsnbextension
ipywidgets,True,ipython
ipywidgets,True,jupyterlab-widgets
ipywidgets,False,pytest
ipywidgets,False,pytest-cov
ipywidgets,False,mock
widgetsnbextension,True,notebook
gitpython,True,gitdb
gitpython,True,typing-extensions
fsspec,False,adlfs
fsspec,False,dask
fsspec,False,distributed
fsspec,False,dropboxdrivefs
fsspec,False,requests
fsspec,False,dropbox
fsspec,False,importlib-metadata
fsspec,False,gcsfs
fsspec,False,pygit2
fsspec,False,pyarrow
fsspec,False,aiohttp
fsspec,False,s3fs
fsspec,False,paramiko
fsspec,False,smbprotocol
tensorflow-metadata,True,absl-py
tensorflow-metadata,True,googleapis-common-protos
tensorflow-metadata,True,protobuf
markdown,True,importlib-metadata
markdown,False,coverage
markdown,False,pyyaml
isort,False,pipreqs
isort,False,requirementslib
isort,False,pip-api
isort,False,colorama
jupyter-console,True,jupyter-client
jupyter-console,True,ipython
jupyter-console,True,ipykernel
jupyter-console,True,prompt-toolkit
jupyter-console,True,pygments
jupyter-console,False,pexpect
tensorflow-serving-api,True,grpcio
tensorflow-serving-api,True,protobuf
tensorflow-serving-api,True,tensorflow
qtconsole,True,traitlets
qtconsole,True,ipython-genutils
qtconsole,True,jupyter-core
qtconsole,True,jupyter-client
qtconsole,True,pygments
qtconsole,True,ipykernel
qtconsole,True,qtpy
qtconsole,True,pyzmq
qtconsole,False,Sphinx
qtconsole,False,flaky
qtconsole,False,pytest
qtconsole,False,pytest-qt
google-cloud-logging,True,google-api-core[grpc]
google-cloud-logging,True,google-cloud-core
google-cloud-logging,True,proto-plus
gensim,True,numpy
gensim,True,scipy
gensim,True,smart-open
gensim,True,Cython
gensim,True,dataclasses
gensim,False,Pyro4
gensim,False,pytest
gensim,False,mock
gensim,False,cython
gensim,False,testfixtures
gensim,False,Morfessor
gensim,False,pyemd
gensim,False,nmslib
gensim,False,python-Levenshtein
gensim,False,visdom
gensim,False,sphinx
gensim,False,sphinx-gallery
gensim,False,sphinxcontrib.programoutput
gensim,False,sphinxcontrib-napoleon
gensim,False,matplotlib
gensim,False,memory-profiler
gensim,False,annoy
gensim,False,nltk
gensim,False,statsmodels
gensim,False,pandas
oauth2client,True,httplib2
oauth2client,True,pyasn1
oauth2client,True,pyasn1-modules
oauth2client,True,rsa
oauth2client,True,six
adal,True,PyJWT
adal,True,requests
adal,True,python-dateutil
adal,True,cryptography
requests-toolbelt,True,requests
tensorflow-transform,True,absl-py
tensorflow-transform,True,apache-beam[gcp]
tensorflow-transform,True,numpy
tensorflow-transform,True,protobuf
tensorflow-transform,True,pyarrow
tensorflow-transform,True,pydot
tensorflow-transform,True,six
tensorflow-transform,True,tensorflow
tensorflow-transform,True,tensorflow-metadata
tensorflow-transform,True,tfx-bsl
flake8,True,pyflakes
flake8,True,pycodestyle
flake8,True,mccabe
flake8,True,configparser
flake8,True,functools32
flake8,True,enum34
flake8,True,typing
flake8,True,importlib-metadata
pydata-google-auth,True,setuptools
pydata-google-auth,True,google-auth
pydata-google-auth,True,google-auth-oauthlib
pandas-gbq,True,setuptools
pandas-gbq,True,pandas
pandas-gbq,True,pydata-google-auth
