pkg,date,downloads
clumper,2021-09-17,151
drawdata,2021-09-17,4
human-learn,2021-09-17,17
memo,2021-09-17,38
mktestdocs,2021-09-17,18
pytest-duration-insights,2021-09-17,25
scikit-lego,2021-09-17,692
tokenwiser,2021-09-17,41
whatlies,2021-09-17,100
clumper,2021-09-18,104
drawdata,2021-09-18,18
human-learn,2021-09-18,2
memo,2021-09-18,5
mktestdocs,2021-09-18,1
pytest-duration-insights,2021-09-18,12
scikit-lego,2021-09-18,649
whatlies,2021-09-18,96
clumper,2021-09-19,11
drawdata,2021-09-19,13
human-learn,2021-09-19,24
memo,2021-09-19,52
scikit-lego,2021-09-19,612
tokenwiser,2021-09-19,18
whatlies,2021-09-19,267
clumper,2021-09-20,84
drawdata,2021-09-20,9
human-learn,2021-09-20,147
memo,2021-09-20,44
mktestdocs,2021-09-20,21
pytest-duration-insights,2021-09-20,1
scikit-lego,2021-09-20,845
whatlies,2021-09-20,18
clumper,2021-09-21,68
drawdata,2021-09-21,8
human-learn,2021-09-21,24
memo,2021-09-21,62
mktestdocs,2021-09-21,22
pytest-duration-insights,2021-09-21,12
scikit-lego,2021-09-21,813
tokenwiser,2021-09-21,4
whatlies,2021-09-21,14
clumper,2021-09-22,52
drawdata,2021-09-22,16
human-learn,2021-09-22,29
memo,2021-09-22,28
mktestdocs,2021-09-22,6
pytest-duration-insights,2021-09-22,36
scikit-lego,2021-09-22,818
tokenwiser,2021-09-22,6
whatlies,2021-09-22,13
clumper,2021-09-23,80
drawdata,2021-09-23,14
human-learn,2021-09-23,57
memo,2021-09-23,43
mktestdocs,2021-09-23,13
scikit-lego,2021-09-23,678
tokenwiser,2021-09-23,43
whatlies,2021-09-23,119
clumper,2021-09-24,69
drawdata,2021-09-24,8
human-learn,2021-09-24,5
memo,2021-09-24,12
mktestdocs,2021-09-24,3
pytest-duration-insights,2021-09-24,48
scikit-lego,2021-09-24,915
tokenwiser,2021-09-24,16
whatlies,2021-09-24,20
clumper,2021-09-25,72
drawdata,2021-09-25,6
human-learn,2021-09-25,35
memo,2021-09-25,36
mktestdocs,2021-09-25,26
scikit-lego,2021-09-25,763
tokenwiser,2021-09-25,28
whatlies,2021-09-25,176
clumper,2021-09-26,37
drawdata,2021-09-26,5
human-learn,2021-09-26,24
memo,2021-09-26,3
mktestdocs,2021-09-26,1
pytest-duration-insights,2021-09-26,14
scikit-lego,2021-09-26,628
tokenwiser,2021-09-26,4
whatlies,2021-09-26,4
clumper,2021-09-27,89
drawdata,2021-09-27,18
human-learn,2021-09-27,10
memo,2021-09-27,61
mktestdocs,2021-09-27,22
pytest-duration-insights,2021-09-27,4
scikit-lego,2021-09-27,743
tokenwiser,2021-09-27,50
whatlies,2021-09-27,198
clumper,2021-09-28,161
drawdata,2021-09-28,9
human-learn,2021-09-28,47
memo,2021-09-28,8
mktestdocs,2021-09-28,18
scikit-lego,2021-09-28,714
whatlies,2021-09-28,18
clumper,2021-09-29,46
drawdata,2021-09-29,13
human-learn,2021-09-29,27
memo,2021-09-29,57
mktestdocs,2021-09-29,21
pytest-duration-insights,2021-09-29,12
scikit-lego,2021-09-29,1260
tokenwiser,2021-09-29,14
whatlies,2021-09-29,86
clumper,2021-09-30,56
drawdata,2021-09-30,11
human-learn,2021-09-30,47
memo,2021-09-30,40
mktestdocs,2021-09-30,1
pytest-duration-insights,2021-09-30,12
scikit-lego,2021-09-30,795
tokenwiser,2021-09-30,19
whatlies,2021-09-30,39
clumper,2021-10-01,95
drawdata,2021-10-01,10
human-learn,2021-10-01,15
memo,2021-10-01,21
mktestdocs,2021-10-01,18
pytest-duration-insights,2021-10-01,25
scikit-lego,2021-10-01,955
tokenwiser,2021-10-01,43
whatlies,2021-10-01,215
clumper,2021-10-02,24
drawdata,2021-10-02,2
human-learn,2021-10-02,46
memo,2021-10-02,8
mktestdocs,2021-10-02,6
pytest-duration-insights,2021-10-02,30
scikit-lego,2021-10-02,709
tokenwiser,2021-10-02,15
whatlies,2021-10-02,96
clumper,2021-10-03,19
drawdata,2021-10-03,14
human-learn,2021-10-03,1
memo,2021-10-03,4
mktestdocs,2021-10-03,9
scikit-lego,2021-10-03,772
tokenwiser,2021-10-03,6
whatlies,2021-10-03,15
clumper,2021-10-04,110
drawdata,2021-10-04,15
human-learn,2021-10-04,65
memo,2021-10-04,35
mktestdocs,2021-10-04,23
scikit-lego,2021-10-04,846
tokenwiser,2021-10-04,1
whatlies,2021-10-04,94
clumper,2021-10-05,83
drawdata,2021-10-05,12
human-learn,2021-10-05,5
memo,2021-10-05,112
mktestdocs,2021-10-05,62
pytest-duration-insights,2021-10-05,24
scikit-lego,2021-10-05,1500
tokenwiser,2021-10-05,28
whatlies,2021-10-05,33
clumper,2021-10-06,96
drawdata,2021-10-06,3
human-learn,2021-10-06,35
memo,2021-10-06,17
mktestdocs,2021-10-06,9
pytest-duration-insights,2021-10-06,14
scikit-lego,2021-10-06,1345
tokenwiser,2021-10-06,12
whatlies,2021-10-06,115
clumper,2021-10-07,27
drawdata,2021-10-07,11
human-learn,2021-10-07,5
memo,2021-10-07,80
mktestdocs,2021-10-07,25
pytest-duration-insights,2021-10-07,2
scikit-lego,2021-10-07,1898
whatlies,2021-10-07,28
clumper,2021-10-08,37
drawdata,2021-10-08,6
human-learn,2021-10-08,2
memo,2021-10-08,11
mktestdocs,2021-10-08,16
pytest-duration-insights,2021-10-08,25
scikit-lego,2021-10-08,1234
tokenwiser,2021-10-08,3
whatlies,2021-10-08,22
clumper,2021-10-09,4
human-learn,2021-10-09,10
memo,2021-10-09,9
mktestdocs,2021-10-09,12
pytest-duration-insights,2021-10-09,32
scikit-lego,2021-10-09,699
whatlies,2021-10-09,7
clumper,2021-10-10,17
human-learn,2021-10-10,3
memo,2021-10-10,25
mktestdocs,2021-10-10,2
pytest-duration-insights,2021-10-10,12
scikit-lego,2021-10-10,654
tokenwiser,2021-10-10,36
whatlies,2021-10-10,190
clumper,2021-10-11,221
drawdata,2021-10-11,9
human-learn,2021-10-11,24
memo,2021-10-11,34
mktestdocs,2021-10-11,26
pytest-duration-insights,2021-10-11,58
scikit-lego,2021-10-11,932
tokenwiser,2021-10-11,29
whatlies,2021-10-11,126
clumper,2021-10-12,88
drawdata,2021-10-12,4
human-learn,2021-10-12,2
memo,2021-10-12,22
pytest-duration-insights,2021-10-12,13
scikit-lego,2021-10-12,857
tokenwiser,2021-10-12,17
whatlies,2021-10-12,104
clumper,2021-10-13,68
drawdata,2021-10-13,8
human-learn,2021-10-13,7
memo,2021-10-13,25
mktestdocs,2021-10-13,6
pytest-duration-insights,2021-10-13,6
scikit-lego,2021-10-13,853
tokenwiser,2021-10-13,12
whatlies,2021-10-13,46
clumper,2021-10-14,51
drawdata,2021-10-14,2
human-learn,2021-10-14,5
memo,2021-10-14,46
mktestdocs,2021-10-14,9
pytest-duration-insights,2021-10-14,1
scikit-lego,2021-10-14,982
tokenwiser,2021-10-14,15
whatlies,2021-10-14,23
clumper,2021-10-15,128
drawdata,2021-10-15,7
human-learn,2021-10-15,25
memo,2021-10-15,37
mktestdocs,2021-10-15,18
pytest-duration-insights,2021-10-15,3
scikit-lego,2021-10-15,901
tokenwiser,2021-10-15,3
whatlies,2021-10-15,108
clumper,2021-10-16,53
drawdata,2021-10-16,21
human-learn,2021-10-16,48
memo,2021-10-16,8
mktestdocs,2021-10-16,21
pytest-duration-insights,2021-10-16,30
scikit-lego,2021-10-16,601
tokenwiser,2021-10-16,23
whatlies,2021-10-16,17
clumper,2021-10-17,152
drawdata,2021-10-17,8
human-learn,2021-10-17,49
memo,2021-10-17,84
mktestdocs,2021-10-17,53
pytest-duration-insights,2021-10-17,24
scikit-lego,2021-10-17,583
tokenwiser,2021-10-17,4
whatlies,2021-10-17,191
clumper,2021-10-18,50
drawdata,2021-10-18,2
human-learn,2021-10-18,31
memo,2021-10-18,68
mktestdocs,2021-10-18,29
pytest-duration-insights,2021-10-18,25
scikit-lego,2021-10-18,983
tokenwiser,2021-10-18,11
whatlies,2021-10-18,34
clumper,2021-10-19,20
drawdata,2021-10-19,7
human-learn,2021-10-19,9
memo,2021-10-19,11
mktestdocs,2021-10-19,69
pytest-duration-insights,2021-10-19,24
scikit-lego,2021-10-19,818
tokenwiser,2021-10-19,26
whatlies,2021-10-19,172
clumper,2021-10-20,98
drawdata,2021-10-20,7
human-learn,2021-10-20,25
memo,2021-10-20,16
mktestdocs,2021-10-20,55
scikit-lego,2021-10-20,931
tokenwiser,2021-10-20,14
whatlies,2021-10-20,38
clumper,2021-10-21,86
drawdata,2021-10-21,11
human-learn,2021-10-21,27
memo,2021-10-21,32
mktestdocs,2021-10-21,19
pytest-duration-insights,2021-10-21,3
scikit-lego,2021-10-21,797
tokenwiser,2021-10-21,29
whatlies,2021-10-21,367
clumper,2021-10-22,59
drawdata,2021-10-22,12
human-learn,2021-10-22,25
memo,2021-10-22,18
mktestdocs,2021-10-22,7
pytest-duration-insights,2021-10-22,12
scikit-lego,2021-10-22,1102
tokenwiser,2021-10-22,1
whatlies,2021-10-22,15
clumper,2021-10-23,57
drawdata,2021-10-23,5
human-learn,2021-10-23,1
memo,2021-10-23,25
mktestdocs,2021-10-23,6
pytest-duration-insights,2021-10-23,1
scikit-lego,2021-10-23,568
tokenwiser,2021-10-23,15
whatlies,2021-10-23,89
clumper,2021-10-24,9
drawdata,2021-10-24,4
human-learn,2021-10-24,24
memo,2021-10-24,2
pytest-duration-insights,2021-10-24,12
scikit-lego,2021-10-24,568
tokenwiser,2021-10-24,14
whatlies,2021-10-24,7
clumper,2021-10-25,51
drawdata,2021-10-25,8
human-learn,2021-10-25,28
memo,2021-10-25,26
mktestdocs,2021-10-25,41
pytest-duration-insights,2021-10-25,2
scikit-lego,2021-10-25,931
tokenwiser,2021-10-25,14
whatlies,2021-10-25,27
clumper,2021-10-26,16
drawdata,2021-10-26,7
human-learn,2021-10-26,5
memo,2021-10-26,21
mktestdocs,2021-10-26,38
pytest-duration-insights,2021-10-26,3
scikit-lego,2021-10-26,741
tokenwiser,2021-10-26,2
whatlies,2021-10-26,21
clumper,2021-10-27,102
drawdata,2021-10-27,24
human-learn,2021-10-27,29
memo,2021-10-27,29
mktestdocs,2021-10-27,85
pytest-duration-insights,2021-10-27,12
scikit-lego,2021-10-27,945
tokenwiser,2021-10-27,98
whatlies,2021-10-27,124
clumper,2021-10-28,199
drawdata,2021-10-28,10
human-learn,2021-10-28,47
memo,2021-10-28,48
mktestdocs,2021-10-28,96
pytest-duration-insights,2021-10-28,26
scikit-lego,2021-10-28,796
tokenwiser,2021-10-28,153
whatlies,2021-10-28,121
clumper,2021-10-29,57
drawdata,2021-10-29,8
human-learn,2021-10-29,35
memo,2021-10-29,77
mktestdocs,2021-10-29,14
scikit-lego,2021-10-29,661
tokenwiser,2021-10-29,21
whatlies,2021-10-29,182
clumper,2021-10-30,37
drawdata,2021-10-30,5
human-learn,2021-10-30,7
memo,2021-10-30,24
mktestdocs,2021-10-30,14
pytest-duration-insights,2021-10-30,1
scikit-lego,2021-10-30,540
tokenwiser,2021-10-30,50
whatlies,2021-10-30,115
clumper,2021-10-31,12
drawdata,2021-10-31,5
human-learn,2021-10-31,26
memo,2021-10-31,36
mktestdocs,2021-10-31,6
scikit-lego,2021-10-31,586
tokenwiser,2021-10-31,9
whatlies,2021-10-31,51
clumper,2021-11-01,86
drawdata,2021-11-01,6
human-learn,2021-11-01,12
memo,2021-11-01,44
mktestdocs,2021-11-01,12
pytest-duration-insights,2021-11-01,13
scikit-lego,2021-11-01,862
tokenwiser,2021-11-01,7
whatlies,2021-11-01,162
clumper,2021-11-02,112
drawdata,2021-11-02,7
human-learn,2021-11-02,69
memo,2021-11-02,79
mktestdocs,2021-11-02,22
pytest-duration-insights,2021-11-02,26
scikit-lego,2021-11-02,803
tokenwiser,2021-11-02,14
whatlies,2021-11-02,65
clumper,2021-11-03,151
drawdata,2021-11-03,7
human-learn,2021-11-03,2
memo,2021-11-03,1
mktestdocs,2021-11-03,65
pytest-duration-insights,2021-11-03,25
scikit-lego,2021-11-03,1210
tokenwiser,2021-11-03,9
whatlies,2021-11-03,39
clumper,2021-11-04,36
drawdata,2021-11-04,12
human-learn,2021-11-04,46
memo,2021-11-04,24
mktestdocs,2021-11-04,73
pytest-duration-insights,2021-11-04,1
scikit-lego,2021-11-04,922
tokenwiser,2021-11-04,23
whatlies,2021-11-04,33
clumper,2021-11-08,81
drawdata,2021-11-08,23
human-learn,2021-11-08,39
memo,2021-11-08,29
mktestdocs,2021-11-08,20
pytest-duration-insights,2021-11-08,5
scikit-lego,2021-11-08,913
tokenwiser,2021-11-08,10
whatlies,2021-11-08,42
clumper,2021-11-09,40
drawdata,2021-11-09,150
human-learn,2021-11-09,29
memo,2021-11-09,11
mktestdocs,2021-11-09,70
pytest-duration-insights,2021-11-09,26
scikit-lego,2021-11-09,950
tokenwiser,2021-11-09,27
whatlies,2021-11-09,144
clumper,2021-11-10,102
drawdata,2021-11-10,899
human-learn,2021-11-10,21
memo,2021-11-10,14
mktestdocs,2021-11-10,17
scikit-lego,2021-11-10,887
tokenwiser,2021-11-10,27
whatlies,2021-11-10,108
clumper,2021-11-11,50
drawdata,2021-11-11,497
human-learn,2021-11-11,23
memo,2021-11-11,6
mktestdocs,2021-11-11,9
scikit-lego,2021-11-11,959
tokenwiser,2021-11-11,4
whatlies,2021-11-11,40
clumper,2021-11-12,5
drawdata,2021-11-12,357
human-learn,2021-11-12,6
memo,2021-11-12,27
mktestdocs,2021-11-12,19
pytest-duration-insights,2021-11-12,6
scikit-lego,2021-11-12,855
tokenwiser,2021-11-12,3
whatlies,2021-11-12,33
clumper,2021-11-13,77
drawdata,2021-11-13,144
human-learn,2021-11-13,2
memo,2021-11-13,8
mktestdocs,2021-11-13,24
pytest-duration-insights,2021-11-13,6
scikit-lego,2021-11-13,586
tokenwiser,2021-11-13,9
whatlies,2021-11-13,22
clumper,2021-11-14,10
drawdata,2021-11-14,30
human-learn,2021-11-14,23
memo,2021-11-14,1
mktestdocs,2021-11-14,26
pytest-duration-insights,2021-11-14,1
scikit-lego,2021-11-14,650
tokenwiser,2021-11-14,8
whatlies,2021-11-14,44
clumper,2021-11-15,58
drawdata,2021-11-15,107
human-learn,2021-11-15,14
memo,2021-11-15,53
mktestdocs,2021-11-15,23
pytest-duration-insights,2021-11-15,23
scikit-lego,2021-11-15,844
tokenwiser,2021-11-15,86
whatlies,2021-11-15,29
clumper,2021-11-16,23
drawdata,2021-11-16,300
human-learn,2021-11-16,51
memo,2021-11-16,30
mktestdocs,2021-11-16,28
pytest-duration-insights,2021-11-16,26
scikit-lego,2021-11-16,977
tokenwiser,2021-11-16,5
whatlies,2021-11-16,169
clumper,2021-11-17,86
drawdata,2021-11-17,116
human-learn,2021-11-17,26
memo,2021-11-17,70
mktestdocs,2021-11-17,17
pytest-duration-insights,2021-11-17,19
scikit-lego,2021-11-17,955
tokenwiser,2021-11-17,45
whatlies,2021-11-17,324
clumper,2021-11-18,9
drawdata,2021-11-18,65
human-learn,2021-11-18,29
memo,2021-11-18,69
mktestdocs,2021-11-18,26
pytest-duration-insights,2021-11-18,15
scikit-lego,2021-11-18,900
tokenwiser,2021-11-18,22
whatlies,2021-11-18,179
clumper,2021-11-19,127
drawdata,2021-11-19,30
human-learn,2021-11-19,11
memo,2021-11-19,27
mktestdocs,2021-11-19,23
pytest-duration-insights,2021-11-19,20
scikit-lego,2021-11-19,769
tokenwiser,2021-11-19,11
whatlies,2021-11-19,213
clumper,2021-11-20,42
drawdata,2021-11-20,13
human-learn,2021-11-20,44
memo,2021-11-20,29
mktestdocs,2021-11-20,19
pytest-duration-insights,2021-11-20,24
scikit-lego,2021-11-20,645
tokenwiser,2021-11-20,9
whatlies,2021-11-20,27
clumper,2021-11-21,62
drawdata,2021-11-21,4
human-learn,2021-11-21,1
memo,2021-11-21,44
mktestdocs,2021-11-21,2
pytest-duration-insights,2021-11-21,13
scikit-lego,2021-11-21,662
tokenwiser,2021-11-21,35
whatlies,2021-11-21,230
clumper,2021-11-22,102
drawdata,2021-11-22,35
human-learn,2021-11-22,51
memo,2021-11-22,68
mktestdocs,2021-11-22,16
pytest-duration-insights,2021-11-22,13
scikit-lego,2021-11-22,1152
tokenwiser,2021-11-22,92
whatlies,2021-11-22,29
clumper,2021-11-23,257
drawdata,2021-11-23,244
human-learn,2021-11-23,27
memo,2021-11-23,42
mktestdocs,2021-11-23,20
pytest-duration-insights,2021-11-23,39
scikit-lego,2021-11-23,2000
tokenwiser,2021-11-23,69
whatlies,2021-11-23,200
clumper,2021-11-24,1
drawdata,2021-11-24,75
scikit-lego,2021-11-24,556
whatlies,2021-11-24,24
scikit-lego,2021-11-25,9
whatlies,2021-11-25,2
scikit-lego,2021-11-26,1
human-learn,2021-11-28,1
scikit-lego,2021-11-28,4
whatlies,2021-11-28,2
memo,2021-11-29,1
pytest-duration-insights,2021-11-29,2
scikit-lego,2021-11-29,12
scikit-lego,2021-11-30,8
clumper,2021-12-19,12
drawdata,2021-12-19,462
human-learn,2021-12-19,29
memo,2021-12-19,17
mktestdocs,2021-12-19,7
pytest-duration-insights,2021-12-19,36
scikit-lego,2021-12-19,749
tokenwiser,2021-12-19,33
whatlies,2021-12-19,197
clumper,2021-12-20,8
drawdata,2021-12-20,118
human-learn,2021-12-20,27
memo,2021-12-20,84
mktestdocs,2021-12-20,17
pytest-duration-insights,2021-12-20,25
scikit-lego,2021-12-20,1147
tokenwiser,2021-12-20,16
whatlies,2021-12-20,117
clumper,2021-12-21,103
drawdata,2021-12-21,249
human-learn,2021-12-21,25
memo,2021-12-21,21
mktestdocs,2021-12-21,18
scikit-lego,2021-12-21,1118
tokenwiser,2021-12-21,11
whatlies,2021-12-21,136
clumper,2021-12-22,265
drawdata,2021-12-22,21
human-learn,2021-12-22,21
memo,2021-12-22,160
mktestdocs,2021-12-22,19
pytest-duration-insights,2021-12-22,12
scikit-lego,2021-12-22,1258
tokenwiser,2021-12-22,32
whatlies,2021-12-22,131
clumper,2021-12-23,72
drawdata,2021-12-23,24
human-learn,2021-12-23,31
memo,2021-12-23,427
mktestdocs,2021-12-23,18
pytest-duration-insights,2021-12-23,12
scikit-lego,2021-12-23,353
whatlies,2021-12-23,166
clumper,2021-12-24,102
drawdata,2021-12-24,22
human-learn,2021-12-24,67
memo,2021-12-24,45
mktestdocs,2021-12-24,19
pytest-duration-insights,2021-12-24,12
scikit-lego,2021-12-24,996
tokenwiser,2021-12-24,53
whatlies,2021-12-24,217
clumper,2021-12-25,11
drawdata,2021-12-25,2
human-learn,2021-12-25,10
memo,2021-12-25,25
mktestdocs,2021-12-25,18
pytest-duration-insights,2021-12-25,34
scikit-lego,2021-12-25,725
tokenwiser,2021-12-25,25
whatlies,2021-12-25,97
clumper,2021-12-26,54
drawdata,2021-12-26,20
human-learn,2021-12-26,3
memo,2021-12-26,3
mktestdocs,2021-12-26,22
pytest-duration-insights,2021-12-26,25
scikit-lego,2021-12-26,680
tokenwiser,2021-12-26,26
whatlies,2021-12-26,122
clumper,2021-12-27,9
drawdata,2021-12-27,20
human-learn,2021-12-27,2
memo,2021-12-27,4
mktestdocs,2021-12-27,2
pytest-duration-insights,2021-12-27,1
scikit-lego,2021-12-27,884
tokenwiser,2021-12-27,16
whatlies,2021-12-27,95
clumper,2021-12-28,9
drawdata,2021-12-28,83
human-learn,2021-12-28,4
memo,2021-12-28,18
mktestdocs,2021-12-28,1
pytest-duration-insights,2021-12-28,27
scikit-lego,2021-12-28,1007
tokenwiser,2021-12-28,6
whatlies,2021-12-28,20
clumper,2021-12-29,13
drawdata,2021-12-29,304
human-learn,2021-12-29,24
memo,2021-12-29,67
pytest-duration-insights,2021-12-29,1
scikit-lego,2021-12-29,885
tokenwiser,2021-12-29,5
whatlies,2021-12-29,56
clumper,2021-12-30,44
drawdata,2021-12-30,19
human-learn,2021-12-30,3
memo,2021-12-30,53
mktestdocs,2021-12-30,6
pytest-duration-insights,2021-12-30,13
scikit-lego,2021-12-30,547
whatlies,2021-12-30,14
clumper,2021-12-31,81
drawdata,2021-12-31,6
human-learn,2021-12-31,6
memo,2021-12-31,46
mktestdocs,2021-12-31,18
pytest-duration-insights,2021-12-31,6
scikit-lego,2021-12-31,490
tokenwiser,2021-12-31,26
whatlies,2021-12-31,2
clumper,2022-01-01,58
drawdata,2022-01-01,140
human-learn,2022-01-01,26
memo,2022-01-01,41
mktestdocs,2022-01-01,23
pytest-duration-insights,2022-01-01,2
scikit-lego,2022-01-01,546
tokenwiser,2022-01-01,26
whatlies,2022-01-01,3
clumper,2022-01-02,61
drawdata,2022-01-02,578
human-learn,2022-01-02,24
memo,2022-01-02,15
mktestdocs,2022-01-02,3
pytest-duration-insights,2022-01-02,14
scikit-lego,2022-01-02,457
whatlies,2022-01-02,187
clumper,2022-01-03,88
drawdata,2022-01-03,153
human-learn,2022-01-03,52
memo,2022-01-03,24
mktestdocs,2022-01-03,23
pytest-duration-insights,2022-01-03,12
scikit-lego,2022-01-03,720
tokenwiser,2022-01-03,43
whatlies,2022-01-03,127
clumper,2022-01-04,134
drawdata,2022-01-04,55
human-learn,2022-01-04,25
memo,2022-01-04,61
mktestdocs,2022-01-04,42
pytest-duration-insights,2022-01-04,26
scikit-lego,2022-01-04,774
tokenwiser,2022-01-04,21
whatlies,2022-01-04,129
clumper,2022-01-05,136
drawdata,2022-01-05,24
human-learn,2022-01-05,28
memo,2022-01-05,27
mktestdocs,2022-01-05,18
pytest-duration-insights,2022-01-05,2
scikit-lego,2022-01-05,764
tokenwiser,2022-01-05,36
whatlies,2022-01-05,110
clumper,2022-01-06,75
drawdata,2022-01-06,10
human-learn,2022-01-06,33
memo,2022-01-06,41
mktestdocs,2022-01-06,22
pytest-duration-insights,2022-01-06,18
scikit-lego,2022-01-06,746
tokenwiser,2022-01-06,37
whatlies,2022-01-06,208
clumper,2022-01-07,85
drawdata,2022-01-07,29
human-learn,2022-01-07,2
memo,2022-01-07,17
mktestdocs,2022-01-07,6
scikit-lego,2022-01-07,896
tokenwiser,2022-01-07,1
whatlies,2022-01-07,16
clumper,2022-01-08,112
drawdata,2022-01-08,16
human-learn,2022-01-08,75
memo,2022-01-08,15
mktestdocs,2022-01-08,2
pytest-duration-insights,2022-01-08,25
scikit-lego,2022-01-08,476
tokenwiser,2022-01-08,2
whatlies,2022-01-08,8
clumper,2022-01-09,8
drawdata,2022-01-09,7
human-learn,2022-01-09,23
memo,2022-01-09,36
mktestdocs,2022-01-09,13
scikit-lego,2022-01-09,524
tokenwiser,2022-01-09,18
whatlies,2022-01-09,95
clumper,2022-01-10,6
drawdata,2022-01-10,166
human-learn,2022-01-10,27
memo,2022-01-10,13
mktestdocs,2022-01-10,9
pytest-duration-insights,2022-01-10,13
scikit-lego,2022-01-10,711
tokenwiser,2022-01-10,1
whatlies,2022-01-10,14
clumper,2022-01-11,141
drawdata,2022-01-11,64
human-learn,2022-01-11,26
memo,2022-01-11,23
mktestdocs,2022-01-11,7
pytest-duration-insights,2022-01-11,13
scikit-lego,2022-01-11,709
whatlies,2022-01-11,24
clumper,2022-01-12,96
drawdata,2022-01-12,43
human-learn,2022-01-12,69
memo,2022-01-12,43
mktestdocs,2022-01-12,25
pytest-duration-insights,2022-01-12,24
scikit-lego,2022-01-12,637
tokenwiser,2022-01-12,36
whatlies,2022-01-12,37
clumper,2022-01-13,188
drawdata,2022-01-13,43
human-learn,2022-01-13,10
memo,2022-01-13,12
mktestdocs,2022-01-13,8
pytest-duration-insights,2022-01-13,13
scikit-lego,2022-01-13,612
tokenwiser,2022-01-13,48
whatlies,2022-01-13,298
clumper,2022-01-14,51
drawdata,2022-01-14,96
human-learn,2022-01-14,39
memo,2022-01-14,33
mktestdocs,2022-01-14,7
pytest-duration-insights,2022-01-14,5
scikit-lego,2022-01-14,476
tokenwiser,2022-01-14,4
whatlies,2022-01-14,165
clumper,2022-01-15,65
drawdata,2022-01-15,21
human-learn,2022-01-15,9
memo,2022-01-15,9
mktestdocs,2022-01-15,4
pytest-duration-insights,2022-01-15,12
scikit-lego,2022-01-15,410
tokenwiser,2022-01-15,7
whatlies,2022-01-15,29
clumper,2022-01-16,18
drawdata,2022-01-16,33
human-learn,2022-01-16,37
memo,2022-01-16,7
mktestdocs,2022-01-16,3
pytest-duration-insights,2022-01-16,31
scikit-lego,2022-01-16,502
tokenwiser,2022-01-16,16
whatlies,2022-01-16,123
clumper,2022-01-17,51
drawdata,2022-01-17,103
human-learn,2022-01-17,24
memo,2022-01-17,32
mktestdocs,2022-01-17,13
scikit-lego,2022-01-17,656
tokenwiser,2022-01-17,26
whatlies,2022-01-17,130
clumper,2022-01-18,124
drawdata,2022-01-18,30
human-learn,2022-01-18,6
memo,2022-01-18,20
mktestdocs,2022-01-18,9
pytest-duration-insights,2022-01-18,15
scikit-lego,2022-01-18,775
tokenwiser,2022-01-18,21
whatlies,2022-01-18,86
clumper,2022-01-19,121
drawdata,2022-01-19,90
human-learn,2022-01-19,71
memo,2022-01-19,96
mktestdocs,2022-01-19,11
scikit-lego,2022-01-19,593
tokenwiser,2022-01-19,10
whatlies,2022-01-19,129
clumper,2022-01-20,221
drawdata,2022-01-20,252
human-learn,2022-01-20,34
memo,2022-01-20,3
mktestdocs,2022-01-20,28
pytest-duration-insights,2022-01-20,24
scikit-lego,2022-01-20,582
tokenwiser,2022-01-20,34
whatlies,2022-01-20,34
clumper,2022-01-21,123
drawdata,2022-01-21,124
human-learn,2022-01-21,39
memo,2022-01-21,27
mktestdocs,2022-01-21,15
pytest-duration-insights,2022-01-21,24
scikit-lego,2022-01-21,664
tokenwiser,2022-01-21,32
whatlies,2022-01-21,35
clumper,2022-01-22,40
drawdata,2022-01-22,13
human-learn,2022-01-22,59
memo,2022-01-22,32
mktestdocs,2022-01-22,7
pytest-duration-insights,2022-01-22,13
scikit-lego,2022-01-22,422
tokenwiser,2022-01-22,23
whatlies,2022-01-22,94
clumper,2022-01-23,3
drawdata,2022-01-23,10
human-learn,2022-01-23,9
memo,2022-01-23,3
mktestdocs,2022-01-23,4
pytest-duration-insights,2022-01-23,24
scikit-lego,2022-01-23,507
tokenwiser,2022-01-23,22
whatlies,2022-01-23,226
clumper,2022-01-24,9
drawdata,2022-01-24,22
human-learn,2022-01-24,47
memo,2022-01-24,110
mktestdocs,2022-01-24,20
pytest-duration-insights,2022-01-24,1
scikit-lego,2022-01-24,803
tokenwiser,2022-01-24,17
whatlies,2022-01-24,143
clumper,2022-01-25,122
drawdata,2022-01-25,97
human-learn,2022-01-25,7
memo,2022-01-25,106
mktestdocs,2022-01-25,15
pytest-duration-insights,2022-01-25,2
scikit-lego,2022-01-25,842
tokenwiser,2022-01-25,17
whatlies,2022-01-25,64
clumper,2022-01-26,157
drawdata,2022-01-26,116
human-learn,2022-01-26,2
memo,2022-01-26,41
mktestdocs,2022-01-26,15
pytest-duration-insights,2022-01-26,4
scikit-lego,2022-01-26,644
tokenwiser,2022-01-26,19
whatlies,2022-01-26,203
clumper,2022-01-27,91
drawdata,2022-01-27,119
human-learn,2022-01-27,16
memo,2022-01-27,120
mktestdocs,2022-01-27,18
pytest-duration-insights,2022-01-27,13
scikit-lego,2022-01-27,753
tokenwiser,2022-01-27,14
whatlies,2022-01-27,75
clumper,2022-01-28,39
drawdata,2022-01-28,87
human-learn,2022-01-28,35
memo,2022-01-28,130
mktestdocs,2022-01-28,19
pytest-duration-insights,2022-01-28,1
scikit-lego,2022-01-28,599
tokenwiser,2022-01-28,6
whatlies,2022-01-28,28
clumper,2022-01-29,78
drawdata,2022-01-29,95
human-learn,2022-01-29,23
memo,2022-01-29,20
mktestdocs,2022-01-29,9
pytest-duration-insights,2022-01-29,22
